Region,Loc,CATEGORY,BRAND,PACK,RTM,Period,ACT-2017,ACT-2018,BP-2018,,
Center,FSD,ENERGY DRINK,MONSTER PREMIUM,355ml CAN,Direct,YTD,,24.009,,,
Center,FSD,ENERGY DRINK,MONSTER PREMIUM,355ml CAN,Indirect,MTD,,64.521,99.69497467,,
Center,FSD,ENERGY DRINK,MONSTER PREMIUM,355ml CAN,Indirect,TODAY,,,21.58712548,,
Center,FSD,ENERGY DRINK,MONSTER PREMIUM,355ml CAN,Indirect,WTD,,64.521,99.69497467,,
Center,FSD,ENERGY DRINK,MONSTER PREMIUM,355ml CAN,Indirect,YTD,,219.817,2026.414181,,
Center,FSD,ENERGY DRINK,Mutant,500ml PET,Indirect,MTD,,,869.0773802,,
Center,FSD,ENERGY DRINK,Mutant,500ml PET,Indirect,TODAY,,,188.1828298,,
Center,FSD,ENERGY DRINK,Mutant,500ml PET,Indirect,WTD,,,869.0773802,,
Center,FSD,ENERGY DRINK,Mutant,500ml PET,Indirect,YTD,,,14961.01293,,
Center,FSD,JUICE,CAPPY JOOSI APPLE,200ml TETRA,Direct,MTD,,8.454,,,
Center,FSD,JUICE,CAPPY JOOSI APPLE,200ml TETRA,Direct,TODAY,,8.454,,,
Center,FSD,JUICE,CAPPY JOOSI APPLE,200ml TETRA,Direct,WTD,,8.454,,,
Center,FSD,JUICE,CAPPY JOOSI APPLE,200ml TETRA,Direct,YTD,,8.454,,,
Center,FSD,JUICE,CAPPY JOOSI APPLE,200ml TETRA,Indirect,MTD,,150.467,336.793146,,
Center,FSD,JUICE,CAPPY JOOSI APPLE,200ml TETRA,Indirect,TODAY,,,72.92640301,,
Center,FSD,JUICE,CAPPY JOOSI APPLE,200ml TETRA,Indirect,WTD,,150.467,336.793146,,
Center,FSD,JUICE,CAPPY JOOSI APPLE,200ml TETRA,Indirect,YTD,,1069.195,7515.019704,,
Center,FSD,JUICE,CAPPY JOOSI MANGO,200ml TETRA,Direct,MTD,,16.908,,,
Center,FSD,JUICE,CAPPY JOOSI MANGO,200ml TETRA,Direct,TODAY,,16.908,,,
Center,FSD,JUICE,CAPPY JOOSI MANGO,200ml TETRA,Direct,WTD,,16.908,,,
Center,FSD,JUICE,CAPPY JOOSI MANGO,200ml TETRA,Direct,YTD,,16.908,,,
Center,FSD,JUICE,CAPPY JOOSI MANGO,200ml TETRA,Indirect,MTD,,219.767,505.1897189,,
Center,FSD,JUICE,CAPPY JOOSI MANGO,200ml TETRA,Indirect,TODAY,,,109.3896045,,
Center,FSD,JUICE,CAPPY JOOSI MANGO,200ml TETRA,Indirect,WTD,,219.767,505.1897189,,
Center,FSD,JUICE,CAPPY JOOSI MANGO,200ml TETRA,Indirect,YTD,,4132.696,11272.52956,,
Center,FSD,JUICE,Cappy Pulpy Apple,1000ml PET,Indirect,MTD,,,27.29600043,,
Center,FSD,JUICE,Cappy Pulpy Apple,1000ml PET,Indirect,TODAY,,,5.910450233,,
Center,FSD,JUICE,Cappy Pulpy Apple,1000ml PET,Indirect,WTD,,,27.29600043,,
Center,FSD,JUICE,Cappy Pulpy Apple,1000ml PET,Indirect,YTD,,,466.9355364,,
Center,FSD,JUICE,Cappy Pulpy Apple,350ml PET,Indirect,MTD,,,51.91534098,,
Center,FSD,JUICE,Cappy Pulpy Apple,350ml PET,Indirect,TODAY,,,11.24131867,,
Center,FSD,JUICE,Cappy Pulpy Apple,350ml PET,Indirect,WTD,,,51.91534098,,
Center,FSD,JUICE,Cappy Pulpy Apple,350ml PET,Indirect,YTD,,,894.3002806,,
Center,FSD,JUICE,CAPPY PULPY MANGO,1000ml PET,Indirect,YTD,,70.803,,,
Center,FSD,JUICE,CAPPY PULPY MANGO,350ml PET,Indirect,MTD,,184.932,,,
Center,FSD,JUICE,CAPPY PULPY MANGO,350ml PET,Indirect,WTD,,184.932,,,
Center,FSD,JUICE,CAPPY PULPY MANGO,350ml PET,Indirect,YTD,,6680.749,,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,1000ml PET,Direct,MTD,,10.567,,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,1000ml PET,Direct,TODAY,,10.567,,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,1000ml PET,Direct,WTD,,10.567,,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,1000ml PET,Direct,YTD,,63.403,,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,1000ml PET,Indirect,MTD,,184.932,203.5471416,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,1000ml PET,Indirect,TODAY,,2.113,44.07441498,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,1000ml PET,Indirect,WTD,,184.932,203.5471416,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,1000ml PET,Indirect,YTD,,1707.697,4257.555769,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,350ml PET,Direct,MTD,,14.794,,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,350ml PET,Direct,TODAY,,14.794,,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,350ml PET,Direct,WTD,,14.794,,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,350ml PET,Direct,YTD,,554.778,,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,350ml PET,Indirect,MTD,,673.923,449.4623397,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,350ml PET,Indirect,TODAY,,2.22,97.32285861,,
Center,FSD,JUICE,CAPPY PULPY ORANGE,350ml PET,Indirect,WTD,,673.923,449.4623397,,
